|Name|Genre|Description|Duration|ContentRating|Rating
0|The Shawshank Redemption|Drama|A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.|PT2H22M|R|9.3
1|The Godfather|Crime, Drama|The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.|PT2H55M|R|9.2
2|The Dark Knight|Action, Crime, Drama|When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.|PT2H32M|PG-13|9.0
3||Crime, Drama|The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.|PT3H22M|R|9.0
4|12 Angry Men|Crime, Drama|The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.|PT1H36M|Approved|9.0
5|Schindler&apos;s List|Biography, Drama, History|In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.|PT3H15M|R|9.0
6|The Lord of the Rings: The Return of the King|Action, Adventure, Drama|Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.|PT3H21M|PG-13|9.0
7|Pulp Fiction|Crime, Drama|The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.|PT2H34M|R|8.9
8|The Lord of the Rings: The Fellowship of the Ring|Action, Adventure, Drama|A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.|PT2H58M|PG-13|8.9
9|Il buono, il brutto, il cattivo|Adventure, Drama, Western|A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.|PT2H41M|R|8.8
10|Forrest Gump|Drama, Romance|The history of the United States from the 1950s to the &apos;70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.|PT2H22M|PG-13|8.8
11|The Lord of the Rings: The Two Towers|Action, Adventure, Drama|While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron&apos;s new ally, Saruman, and his hordes of Isengard.|PT2H59M|PG-13|8.8
12|Fight Club|Drama|An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.|PT2H19M|R|8.8
13|Inception|Action, Adventure, Sci-Fi|A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.|PT2H28M|PG-13|8.8
14|Star Wars: Episode V - The Empire Strikes Back|Action, Adventure, Fantasy|After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.|PT2H4M|PG|8.7
15|The Matrix|Action, Sci-Fi|When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.|PT2H16M|R|8.7
16|Goodfellas|Biography, Crime, Drama|The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.|PT2H25M|R|8.7
17|One Flew Over the Cuckoo&apos;s Nest|Drama|In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.|PT2H13M|R|8.7
18|Interstellar|Adventure, Drama, Sci-Fi|When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.|PT2H49M|PG-13|8.7
19|Se7en|Crime, Drama, Mystery|Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.|PT2H7M|R|8.6
20|It&apos;s a Wonderful Life|Drama, Family, Fantasy|An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.|PT2H10M|PG|8.6
21|Shichinin no samurai|Action, Drama|Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.|PT3H27M|Not Rated|8.6
22|The Silence of the Lambs|Crime, Drama, Thriller|A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.|PT1H58M|R|8.6
23|Saving Private Ryan|Drama, War|Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.|PT2H49M|R|8.6
